nombre,precio,descuento,imagen,link
Pc Computador Gamer Amd Ryzen 7 5700g Ssd 240 Hdd 1tb Ram 16,3.859.900,3.859.900,https://http2.mlstatic.com/D_NQ_NP_862652-MCO47807316125_102021-V.webp,https://articulo.mercadolibre.com.co/MCO-818960598-pc-computador-gamer-amd-ryzen-7-5700g-ssd-240-hdd-1tb-ram-16-_JM#position=21&search_layout=stack&type=item&tracking_id=6a89a2bd-f521-47b7-8c18-9b51d287900b
Computador Portatil Dell Core I5 11gen 16gb 1tera 250gb Ssd Color Gris,2.281.000,2.281.000,https://http2.mlstatic.com/D_NQ_NP_855678-MLU70082561247_062023-V.webp,https://www.mercadolibre.com.co/computador-portatil-dell-core-i5-11gen-16gb-1tera-250gb-ssd-color-gris/p/MCO24034501?pdp_filters=category:MCO1648#searchVariation=MCO24034501&position=1&search_layout=stack&type=product&tracking_id=6a89a2bd-f521-47b7-8c18-9b51d287900b
Todo En Uno Hp 22-dd0522la Ryzen 3 3250u 4gb 128gb Ssd Win10,1.999.000,1.999.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mercadolibre.com.co/todo-en-uno-hp-22-dd0522la-ryzen-3-3250u-4gb-128gb-ssd-win10/p/MCO20541003?pdp_filters=category:MCO1648#searchVariation=MCO20541003&position=2&search_layout=stack&type=product&tracking_id=6a89a2bd-f521-47b7-8c18-9b51d287900b
Portátil Computador Hp Intel Dual Core Ram 8gb 256gb Ssd 14,1.398.667,1.398.667,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-1137992811-portatil-computador-hp-intel-dual-core-ram-8gb-256gb-ssd-14-_JM#position=22&search_layout=stack&type=item&tracking_id=6a89a2bd-f521-47b7-8c18-9b51d287900b
Servidor Dell Power Edge T40 Intel Xeon 3.5 Ghz 16g 1tb,7.714.142,7.714.142,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-582449651-servidor-dell-power-edge-t40-intel-xeon-35-ghz-16g-1tb-_JM#position=23&search_layout=stack&type=item&tracking_id=6a89a2bd-f521-47b7-8c18-9b51d287900b
Computador Portátil Hp 14-cf2522la - Ci5 - 8gb - 256gb - 14,1.858.000,1.858.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mercadolibre.com.co/computador-portatil-hp-14-cf2522la-ci5-8gb-256gb-14/p/MCO21304802?pdp_filters=category:MCO1648#searchVariation=MCO21304802&position=3&search_layout=stack&type=product&tracking_id=6a89a2bd-f521-47b7-8c18-9b51d287900b
Todo En Uno Lenovo Amd Ryzen 3 3250u Ssd 256gb Ram 8gb Color Negro,1.859.900,1.859.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mercadolibre.com.co/todo-en-uno-lenovo-amd-ryzen-3-3250u-ssd-256gb-ram-8gb-color-negro/p/MCO24104254?pdp_filters=category:MCO1648#searchVariation=MCO24104254&position=4&search_layout=stack&type=product&tracking_id=6a89a2bd-f521-47b7-8c18-9b51d287900b
Todo En Uno Pc Aio Hp Intel Dual Core Mem Ram 8gb Ssd 240gb,1.546.000,1.546.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-1103645043-todo-en-uno-pc-aio-hp-intel-dual-core-mem-ram-8gb-ssd-240gb-_JM#position=24&search_layout=stack&type=item&tracking_id=6a89a2bd-f521-47b7-8c18-9b51d287900b
Todo En Uno Pc Aio Hp Intel Dual Core Mem Ram 8gb Ssd 240gb,1.546.000,1.546.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=889YONVtx3EODLQPIcxur8qVkOOW%2FSwGka21ujjwfewVwvu3agnjBAfXPUfTvtUbH7o56NVQ2PaPWSNiSmVtV2nKotBPdFnWyzLIwLCGF3IVmpmA16uOLlNck1YemBgFRd%2FKyJdhqs3urEnxepfn7b8r%2BtM8RtVwYnyRPoDmulWgmwYUNl6TS7hy01AY1Mie7ObV3KOj6NYknqXmOKffnfEMNqpIPwv7ujAHMAfF8OcpyBr2oSCmm8Vos2IMS0s6xOAbwQijqQsuVy5d77n7eFRnFALswGIzIjrVLBzNtasML4zEDITuNns2ff%2BDXsAtArLXHWu39Y2C3CBUyKKdHRXIuPOD33fPAY%2Fe%2FL10Nem9b713CvAXGgzcBLBV0kVLS6vLg3M1zB8sdB85bJfBAsSapkzKF2UkZ9qnxgM5%2FRwnFDpyw4cwDKMk7mHbB7iOo7xiSscFPz4kj0TM5MDwaWgN9KN0H1LfbmQSud7C9%2BFXq4YI12xbq9XHyqyiE2IJyu8rNGRLBUaB6q2O5X0pItN8mhY%2FegnzXYocibgTBgddf3m8%2BzH7RpiXh%2FeJBqxFtcpZBsGh5j7gVkL3v181BWZLtNkLA2pEV3ber8OrZFsTYxtEzR9e3YsaEZWxM2RXMsXVIIqJyrKiaoiJNhzq3ML4L68xccycn622JfycowBWc2%2BdsRTD9G6%2FsErrNeJA59ucYw1hIpNOrOJf51RojWOa94V0b8AI&e=mclics%2Fadvertising-results-augmenter-on%2B15097%2Cmclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176%2Cmclics%2Fpads-score-mla%2B17263%2Cmclics%2Fbuybox-threshold%2B24613%2Cmclics%2Flax-top-domain%2B23443&rb=x
Portátil Computador Hp Intel Dual Core Ram 8gb 256gb Ssd 14,1.398.667,1.398.667,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=KrH5W0TyRkwGNHzLyOl8YkpR1k69CS5yRIogBC7W0WMjJ5fczX0qfVgkkHSeKpU87dC4jhzTp6pmwGIxpSAlTllUSODwre%2F%2FH9BMy%2FLpZT2VDoY14oPSoD0KmwPY3pky1mnXGVXTCYXAg%2BpKzgjWZft%2B5Ya6Fb1EYlJZ6B3QaxV03zHh1MvIvsfsTR19TRahGuH5zUfVKSSj0v8f9nydBHojI%2Flh8eR4aUlYSbhEdKZ3bKFnrwEsxAzp6tUiO%2Fa4ahPAJNBW0FWZk1xU%2FNM1okvhLCY8D4LdiSPl5BuGETDGh8uzUZbV3I0P%2FgEbmAOLEADT2wchEO3IYe891H7D%2BM%2B5vs%2B2QpUVRGQBTOOHL8dI8LsKWjxsu5MyZs2yw5YV8rCRte9bhp2g%2BnMM4ASSihYrcwnHq%2F3AS78w1WI5LD7WRMpsX38qxXNoNNY6Bu4UqioEVDrKDYKfalPcwWo%2FzYY6j2nxG0elMxua4FmrPstbUBCV12FoH6LaA4LMgEjudkx%2FSGbJnZ4iyiz%2FBxShp3%2F9eHgC58pOdbMbCF2p%2Fue6HL6rBWwKtpenjeA79vBbvh08CtJ2YY7jnMlLECaaRrXaIqaYuQ39ddJB%2BF9sMZ%2BTMsJjAXKgOtbV22ON9mMY71ZnXcHOCBnATx2R37mYeNgiP7kx1TR8PHZu%2F6erF5HD91LizSH1xEqoIPAQmz46S1GFPOJUF8IMzM57pshPvFTkxyWMoy%2BM&e=mclics%2Fadvertising-results-augmenter-on%2B15097%2Cmclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176%2Cmclics%2Fpads-score-mla%2B17263%2Cmclics%2Fbuybox-threshold%2B24613%2Cmclics%2Flax-top-domain%2B23443&rb=x
